Hour,PULocationID,Dayofweek,Demanda
4,107,4,1.46
4,107,5,3.94
4,107,6,5.0
4,113,0,0.36
4,113,1,0.25
4,113,2,0.37
4,113,3,0.44
4,113,4,0.65
4,113,5,1.88
4,113,6,1.89
4,132,0,3.56
4,132,1,2.95
4,132,2,3.32
4,132,3,2.67
4,132,4,2.99
4,132,5,3.28
4,132,6,2.71
4,137,0,0.79
4,137,1,0.7
4,137,2,0.73
4,137,3,0.88
4,137,4,1.14
4,137,5,2.15
4,137,6,2.53
4,138,0,0.17
4,138,1,0.34
4,138,2,0.19
4,138,3,0.15
4,138,4,0.17
4,138,5,0.11
4,138,6,0.26
4,141,0,1.34
4,141,1,1.24
4,141,2,1.2
4,141,3,1.71
4,141,4,1.94
4,141,5,2.5
4,141,6,3.05
4,142,0,0.59
4,142,1,0.83
4,142,2,0.86
4,142,3,0.86
4,142,4,0.62
4,142,5,1.12
4,142,6,1.18
4,143,0,0.13
4,143,1,0.13
4,143,2,0.21
4,143,3,0.29
4,143,4,0.15
4,143,5,0.22
4,143,6,0.42
4,144,0,0.17
4,144,1,0.14
4,144,2,0.26
4,144,3,0.52
4,144,4,2.08
4,144,5,6.27
4,144,6,7.12
4,151,0,0.26
4,151,1,0.26
4,151,2,0.16
4,151,3,0.3
4,151,4,0.26
4,151,5,0.35
4,151,6,0.35
4,161,0,1.74
4,161,1,1.38
4,161,2,1.75
4,161,3,1.93
4,161,4,2.04
4,161,5,1.98
4,161,6,2.33
4,162,0,1.26
4,162,1,1.26
4,162,2,1.26
4,162,3,1.6
4,162,4,2.01
4,162,5,1.74
4,162,6,2.3
4,163,0,1.32
4,163,1,1.18
4,163,2,1.49
4,163,3,1.62
4,163,4,1.96
4,163,5,2.83
4,163,6,3.38
4,164,0,1.33
4,164,1,1.21
4,164,2,1.58
4,164,3,2.17
4,164,4,2.91
4,164,5,5.68
4,164,6,6.7
4,170,0,1.15
4,170,1,0.81
4,170,2,1.06
4,170,3,1.46
4,170,4,1.52
4,170,5,2.58
4,170,6,3.05
4,211,0,0.09
4,211,1,0.09
4,211,2,0.02
4,211,3,0.07
4,211,4,0.2
4,211,5,1.09
4,211,6,1.19
4,224,0,0.03
4,224,1,0.03
4,224,2,0.1
4,224,3,0.08
4,224,4,0.09
4,224,5,0.44
4,224,6,0.26
4,229,0,0.83
4,229,1,0.87
4,229,2,0.94
4,229,3,0.95
4,229,4,1.28
4,229,5,2.04
4,229,6,2.37
4,233,0,0.83
4,233,1,0.75
4,233,2,0.66
4,233,3,0.97
4,233,4,1.1
4,233,5,1.25
4,233,6,1.22
4,234,0,0.53
4,234,1,0.33
4,234,2,0.79
4,234,3,0.72
4,234,4,1.32
4,234,5,2.64
4,234,6,3.77
4,236,0,0.61
4,236,1,0.7
4,236,2,0.66
4,236,3,0.51
4,236,4,0.59
4,236,5,0.57
4,236,6,0.74
4,237,0,0.77
4,237,1,0.65
4,237,2,0.69
4,237,3,0.57
4,237,4,0.91
4,237,5,0.97
4,237,6,1.03
4,239,0,0.64
4,239,1,0.63
4,239,2,0.79
4,239,3,0.84
4,239,4,0.81
4,239,5,1.03
4,239,6,1.39
4,249,0,1.38
4,249,1,1.12
4,249,2,1.44
4,249,3,2.0
4,249,4,2.76
4,249,5,8.51
4,249,6,9.2
4,263,0,1.22
4,263,1,0.81
4,263,2,1.18
4,263,3,1.28
4,263,4,1.21
4,263,5,2.21
4,263,6,2.58
5,43,0,0.41
5,43,1,0.51
5,43,2,0.57
5,43,3,0.61
5,43,4,0.52
5,43,5,0.34
5,43,6,0.3
5,48,0,6.53
5,48,1,7.22
5,48,2,6.73
5,48,3,6.62
5,48,4,5.68
5,48,5,4.36
5,48,6,4.91
5,68,0,1.93
5,68,1,2.06
5,68,2,1.97
5,68,3,2.12
5,68,4,1.84
5,68,5,1.73
5,68,6,2.1
5,79,0,1.4
5,79,1,1.04
5,79,2,1.45
5,79,3,1.39
5,79,4,1.4
5,79,5,2.93
5,79,6,3.07
5,90,0,1.18
5,90,1,1.08
