,Year,Manufacturer,Model,CO2 (p/mile),Miles per gallon (mpg),ef_x_comb,comb_x_year,Fuel,score_ghg,ef_x_comb_city,youSaveSpend,Alternative Fuel,createdOn,modifiedOn
697,2019,BMW,230i Coupe,356.0,25.0,5.0,2600.0,Premium Gasoline,5.0,26.6782,-3500.0,No,03-08-2018,21-09-2018
698,2019,BMW,230i xDrive Coupe,326.0,27.0,6.0,2400.0,Premium Gasoline,6.0,30.4468,-2500.0,No,03-08-2018,21-09-2018
699,2019,BMW,M240i Coupe M Performance,413.0,21.0,4.0,3100.0,Premium Gasoline,4.0,23.1,-6000.0,No,03-08-2018,21-09-2018
700,2019,BMW,M240i Coupe,367.0,24.0,5.0,2700.0,Premium Gasoline,5.0,26.5131,-4000.0,No,03-08-2018,21-09-2018
701,2019,BMW,M240i Convertible,367.0,24.0,5.0,2700.0,Premium Gasoline,5.0,26.5131,-4000.0,No,03-08-2018,21-09-2018
702,2019,BMW,M2 Competition,470.0,19.0,3.0,3450.0,Premium Gasoline,3.0,20.6193,-7750.0,No,03-08-2018,21-09-2018
703,2019,BMW,M4 Convertible Competition,450.0,20.0,4.0,3250.0,Premium Gasoline,4.0,21.1878,-6750.0,No,03-08-2018,21-09-2018
704,2019,Chevrolet,Camaro,354.0,25.0,5.0,2600.0,Premium Gasoline,5.0,27.6735,-3500.0,No,03-08-2018,21-09-2018
705,2019,Volkswagen,Beetle Convertible,308.0,29.0,6.0,1850.0,Regular Gasoline,6.0,32.3057,250.0,No,03-08-2018,10-04-2019
707,2019,Jaguar,XF AWD,299.0,34.0,8.0,1700.0,Diesel,7.0,39.9,1000.0,No,03-08-2018,03-12-2018
708,2019,Kia,Stinger RWD,365.0,25.0,5.0,2600.0,Premium Gasoline,5.0,27.6477,-3500.0,No,03-08-2018,05-12-2018
709,2019,Kia,Stinger RWD,446.0,20.0,4.0,3250.0,Premium Gasoline,4.0,21.7098,-6750.0,No,03-08-2018,29-01-2019
710,2019,Kia,Forte FE,256.0,35.0,8.0,1500.0,Regular Gasoline,8.0,40.8,2000.0,No,03-08-2018,03-12-2018
712,2019,GMC,Canyon 2WD,435.0,23.0,5.0,2550.0,Diesel,4.0,25.2,-3250.0,No,03-08-2018,18-12-2018
713,2019,GMC,Sierra C10 2WD,471.0,19.0,3.0,2800.0,Regular Gasoline,3.0,20.5291,-4500.0,No,03-08-2018,21-09-2018
714,2019,Acura,MDX FWD,387.0,23.0,5.0,2850.0,Premium Gasoline,5.0,26.0,-4750.0,No,03-08-2018,21-09-2018
715,2019,BMW,X6 sDrive35i,433.0,20.0,4.0,3250.0,Premium Gasoline,4.0,22.7645,-6750.0,No,03-08-2018,03-12-2018
717,2019,Lamborghini,Aventador Coupe,784.0,11.0,1.0,5950.0,Premium Gasoline,1.0,10.7497,-20250.0,No,10-08-2018,10-08-2018
718,2019,Toyota,86,328.0,27.0,6.0,2400.0,Premium Gasoline,6.0,30.6,-2500.0,No,10-08-2018,18-12-2018
719,2019,Maserati,Ghibli V6 SQ4 AWD,474.0,19.0,3.0,3450.0,Premium Gasoline,3.0,19.8,-7750.0,No,10-08-2018,16-04-2019
720,2019,Hyundai,Sonata SE,306.0,29.0,6.0,1850.0,Regular Gasoline,6.0,33.3,250.0,No,10-08-2018,05-12-2018
721,2019,Toyota,Tundra 4WD FFV,606.0,15.0,2.0,3550.0,Regular Gasoline,2.0,16.0641,-8250.0,E85,10-08-2018,03-10-2018
722,2019,Toyota,Tundra 4WD,615.0,14.0,1.0,3800.0,Regular Gasoline,1.0,16.028,-9500.0,No,10-08-2018,03-10-2018
723,2019,Toyota,Sienna 2WD,408.0,22.0,4.0,2400.0,Regular Gasoline,4.0,23.8488,-2500.0,No,10-08-2018,08-11-2019
724,2019,Jeep,Compass FWD,339.0,26.0,5.0,2050.0,Regular Gasoline,5.0,29.0,-750.0,No,10-08-2018,18-12-2018
725,2019,BMW,530e,193.0,29.0,8.0,2250.0,Premium Gasoline,10.0,35.7,500.0,Electricity,10-08-2018,25-03-2022
726,2019,Mercedes-Benz,CLA250 4matic,328.0,27.0,6.0,2400.0,Premium Gasoline,6.0,30.6,-2500.0,No,16-08-2018,03-10-2018
727,2019,Nissan,Sentra Nismo,330.0,27.0,6.0,2400.0,Premium Gasoline,6.0,34.4,-2500.0,No,16-08-2018,03-10-2018
728,2019,Land Rover,Range Rover Evoque Cabriolet,371.0,24.0,5.0,2700.0,Premium Gasoline,5.0,26.7525,-4000.0,No,16-08-2018,03-12-2018
729,2019,Land Rover,Range Rover SVA,468.0,19.0,3.0,3450.0,Premium Gasoline,3.0,20.7,-7750.0,No,16-08-2018,03-12-2018
730,2019,Chevrolet,Cruze Premier Hatchback,286.0,31.0,7.0,1700.0,Regular Gasoline,7.0,37.3,1000.0,No,17-08-2018,03-12-2018
731,2019,Cadillac,Escalade 2WD,517.0,17.0,3.0,3850.0,Premium Gasoline,3.0,17.7,-9750.0,No,17-08-2018,21-09-2018
732,2019,Chevrolet,Tahoe C1500 2WD,517.0,17.0,3.0,3850.0,Premium Gasoline,3.0,17.7,-9750.0,No,17-08-2018,21-09-2018
733,2019,Mercedes-Benz,C300 4matic Coupe,356.0,25.0,5.0,2600.0,Premium Gasoline,5.0,27.4,-3500.0,No,24-08-2018,18-12-2018
734,2019,Dodge,Challenger,466.0,19.0,3.0,3200.0,Midgrade Gasoline,3.0,19.8,-6500.0,No,24-08-2018,21-09-2018
735,2019,Dodge,Challenger,498.0,18.0,3.0,3650.0,Premium Gasoline,3.0,18.0689,-8750.0,No,24-08-2018,21-09-2018
736,2019,Dodge,Challenger,523.0,17.0,3.0,3850.0,Premium Gasoline,3.0,17.3,-9750.0,No,24-08-2018,21-09-2018
737,2019,Dodge,Challenger SRT,546.0,16.0,2.0,4100.0,Premium Gasoline,2.0,16.1,-11000.0,No,24-08-2018,21-09-2018
738,2019,Toyota,Camry XSE,345.0,26.0,5.0,2050.0,Regular Gasoline,5.0,28.1199,-750.0,No,24-08-2018,18-12-2018
740,2019,Chrysler,300 AWD,415.0,21.0,4.0,2550.0,Regular Gasoline,4.0,23.0,-3250.0,No,24-08-2018,18-12-2018
741,2019,Lexus,RX 350 AWD,405.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.2157,-2500.0,No,24-08-2018,18-12-2018
742,2019,Toyota,4Runner 4WD,491.0,18.0,3.0,2950.0,Regular Gasoline,3.0,20.6715,-5250.0,No,24-08-2018,23-01-2019
744,2019,Mercedes-Benz,AMG GLA45 4matic,361.0,25.0,5.0,2600.0,Premium Gasoline,5.0,28.1,-3500.0,No,30-08-2018,18-12-2018
745,2019,Nissan,Frontier 2WD,479.0,19.0,3.0,2800.0,Regular Gasoline,3.0,20.4,-4500.0,No,30-08-2018,03-12-2018
746,2019,Chevrolet,Colorado ZR2 4WD,532.0,17.0,3.0,3100.0,Regular Gasoline,3.0,19.5,-6000.0,No,30-08-2018,06-02-2019
747,2019,Chevrolet,Colorado Cab Chassis 2WD,572.0,15.0,2.0,3550.0,Regular Gasoline,2.0,18.8,-8250.0,No,30-08-2018,21-09-2018
748,2019,GMC,Canyon Cab Chassis 2WD,572.0,15.0,2.0,3550.0,Regular Gasoline,2.0,18.8,-8250.0,No,30-08-2018,11-09-2018
749,2019,Alfa Romeo,Stelvio AWD,364.0,24.0,5.0,2700.0,Premium Gasoline,5.0,27.8499,-4000.0,No,30-08-2018,03-12-2018
750,2019,Alfa Romeo,Stelvio AWD,470.0,19.0,3.0,3450.0,Premium Gasoline,3.0,20.7526,-7750.0,No,30-08-2018,03-12-2018
751,2019,Jaguar,E-Pace P250,395.0,24.0,5.0,2700.0,Premium Gasoline,5.0,27.2422,-4000.0,No,30-08-2018,03-12-2018
752,2019,Land Rover,Range Rover Evoque 237HP,362.0,25.0,5.0,2600.0,Premium Gasoline,5.0,27.4542,-3500.0,No,30-08-2018,03-12-2018
753,2019,Land Rover,Range Rover,491.0,18.0,3.0,3650.0,Premium Gasoline,3.0,20.2719,-8750.0,No,30-08-2018,03-12-2018
754,2019,Land Rover,Range Rover LWB SVA,587.0,15.0,2.0,4350.0,Premium Gasoline,2.0,16.137,-12250.0,No,30-08-2018,03-12-2018
755,2019,Mercedes-Benz,SL450,387.0,23.0,5.0,2850.0,Premium Gasoline,5.0,25.1,-4750.0,No,11-09-2018,03-12-2018
756,2019,Toyota,Yaris,264.0,34.0,8.0,1550.0,Regular Gasoline,8.0,40.8658,1750.0,No,11-09-2018,03-10-2018
757,2019,Ford,Fusion FWD,361.0,25.0,5.0,2100.0,Regular Gasoline,5.0,26.6253,-1000.0,No,11-09-2018,18-12-2018
758,2019,Ford,Fusion Hybrid FWD,212.0,42.0,9.0,1250.0,Regular Gasoline,9.0,62.1527,3250.0,No,11-09-2018,20-08-2019
759,2019,Ford,Fusion FWD,355.0,25.0,5.0,2100.0,Regular Gasoline,5.0,27.3,-1000.0,No,11-09-2018,18-12-2018
760,2019,Infiniti,Q50 AWD,407.0,22.0,4.0,2950.0,Premium Gasoline,4.0,23.7735,-5250.0,No,11-09-2018,08-07-2019
761,2019,Lincoln,MKZ FWD,425.0,21.0,4.0,2550.0,Regular Gasoline,4.0,22.0,-3250.0,No,11-09-2018,03-10-2018
762,2019,Lincoln,MKZ Hybrid FWD,217.0,41.0,9.0,1300.0,Regular Gasoline,9.0,62.1527,3000.0,No,11-09-2018,20-08-2019
763,2019,Toyota,Camry Hybrid XLE/SE,195.0,46.0,10.0,1150.0,Regular Gasoline,10.0,61.7,3750.0,No,11-09-2018,20-08-2019
764,2019,Toyota,Tacoma 4WD,448.0,20.0,4.0,2650.0,Regular Gasoline,4.0,22.7047,-3750.0,No,11-09-2018,18-12-2018
765,2019,Ram,1500 2WD,407.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.8491,-2500.0,No,11-09-2018,20-08-2019
767,2019,Toyota,Highlander,391.0,23.0,5.0,2300.0,Regular Gasoline,5.0,25.2,-2000.0,No,11-09-2018,03-12-2018
768,2019,Buick,Encore AWD,344.0,26.0,5.0,2050.0,Regular Gasoline,5.0,30.4769,-750.0,No,11-09-2018,21-09-2018
769,2019,Mazda,CX-9 4WD,391.0,23.0,5.0,2300.0,Regular Gasoline,5.0,25.7135,-2000.0,No,11-09-2018,23-01-2019
770,2019,Nissan,Armada 2WD,556.0,16.0,2.0,3300.0,Regular Gasoline,2.0,17.3644,-7000.0,No,11-09-2018,08-07-2019
771,2019,Bentley,Bentayga,508.0,17.0,3.0,3850.0,Premium Gasoline,3.0,17.6,-9750.0,No,11-09-2018,08-11-2019
772,2019,Lexus,RX 450h L AWD,305.0,29.0,6.0,2250.0,Premium Gasoline,6.0,41.5995,-1750.0,No,11-09-2018,20-08-2019
773,2019,Nissan,Armada 4WD,585.0,15.0,2.0,3550.0,Regular Gasoline,2.0,16.3812,-8250.0,No,11-09-2018,08-07-2019
774,2019,Cadillac,CT6 AWD,429.0,21.0,4.0,3100.0,Premium Gasoline,4.0,22.4,-6000.0,No,21-09-2018,03-12-2018
775,2019,Ford,Taurus AWD,468.0,19.0,3.0,2800.0,Regular Gasoline,3.0,20.9,-4500.0,No,21-09-2018,18-12-2018
776,2019,Ford,Taurus AWD FFV,468.0,19.0,3.0,2800.0,Regular Gasoline,3.0,20.9,-4500.0,E85,21-09-2018,18-12-2018
