Pollutant,Measure Info,Geo Place Name,Year,Data Value
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant (CD3),2021,6.84
Fine particles (PM 2.5),mcg/m3,Morrisania and Crotona (CD3),2021,6.7
Fine particles (PM 2.5),mcg/m3,Highbridge and Concourse (CD4),2021,6.65
Fine particles (PM 2.5),mcg/m3,Upper East Side (CD8),2021,7.03
Fine particles (PM 2.5),mcg/m3,Williamsbridge and Baychester (CD12),2021,6.49
Fine particles (PM 2.5),mcg/m3,East New York and Starrett City (CD5),2021,6.51
Fine particles (PM 2.5),mcg/m3,Fordham and University Heights (CD5),2021,6.76
Nitrogen dioxide (NO2),ppb,Mott Haven and Melrose (CD1),2021,18.75
Fine particles (PM 2.5),mcg/m3,Greenpoint and Williamsburg (CD1),2021,7.74
Fine particles (PM 2.5),mcg/m3,Mott Haven and Melrose (CD1),2021,6.84
Fine particles (PM 2.5),mcg/m3,High Bridge - Morrisania,2021,6.63
Fine particles (PM 2.5),mcg/m3,Bensonhurst - Bay Ridge,2021,6.43
Fine particles (PM 2.5),mcg/m3,Sunset Park,2021,6.99
Fine particles (PM 2.5),mcg/m3,East Harlem (CD11),2021,6.79
Nitrogen dioxide (NO2),ppb,Jamaica,2021,15.3
Nitrogen dioxide (NO2),ppb,Rockaways,2021,11.41
Nitrogen dioxide (NO2),ppb,Southern SI,2021,12.03
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,2021,7.2
Nitrogen dioxide (NO2),ppb,Sunset Park,2021,18.03
Fine particles (PM 2.5),mcg/m3,East Harlem,2021,6.79
Nitrogen dioxide (NO2),ppb,East Harlem,2021,18.28
Nitrogen dioxide (NO2),ppb,Central Harlem (CD10),2021,18.31
Nitrogen dioxide (NO2),ppb,Coney Island - Sheepshead Bay,2021,14.68
Nitrogen dioxide (NO2),ppb,East Harlem (CD11),2021,18.25
Fine particles (PM 2.5),mcg/m3,Coney Island - Sheepshead Bay,2021,6.27
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),2021,11.34
Nitrogen dioxide (NO2),ppb,Flatbush and Midwood (CD14),2021,16.17
Fine particles (PM 2.5),mcg/m3,East Flatbush - Flatbush,2021,6.44
Nitrogen dioxide (NO2),ppb,Fordham and University Heights (CD5),2021,18.12
Fine particles (PM 2.5),mcg/m3,Borough Park,2021,6.43
Nitrogen dioxide (NO2),ppb,Ridgewood - Forest Hills,2021,16.04
Fine particles (PM 2.5),mcg/m3,Washington Heights,2021,6.86
Nitrogen dioxide (NO2),ppb,Central Harlem - Morningside Heights,2021,18.21
Nitrogen dioxide (NO2),ppb,Washington Heights,2021,17.1
Fine particles (PM 2.5),mcg/m3,Greenpoint,2021,7.67
Nitrogen dioxide (NO2),ppb,Highbridge and Concourse (CD4),2021,18.11
Nitrogen dioxide (NO2),ppb,Morrisania and Crotona (CD3),2021,17.32
Fine particles (PM 2.5),mcg/m3,Flatbush and Midwood (CD14),2021,6.43
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),2021,7.0
Fine particles (PM 2.5),mcg/m3,Kingsbridge Heights and Bedford (CD7),2021,6.64
Nitrogen dioxide (NO2),ppb,Bayside - Little Neck,2021,13.91
